run,subrun,event,x,y,z
5124,23,1186,124.414,0.0,660.708
5125,9,482,86.9145,0.0,255.084
5127,115,5774,120.432,0.0,647.041
5130,0,8,27.0534,0.0,258.285
5130,25,1295,122.002,0.0,516.058
5130,33,1698,27.7739,0.0,759
5134,29,1482,205.077,0.0,228.268
5134,35,1778,179.311,0.0,61.9668
5142,18,909,181.534,0.0,503
5142,29,1456,227.409,0.0,562.746
5146,17,859,219.166,0.0,36.5346
5151,22,1104,142.513,0.0,106.143
5153,13,666,126.613,0.0,979.612
5153,66,3324,123.405,0.0,75.8627
5153,80,4032,202.294,0.0,812.915
5153,85,4293,226.311,0.0,686.634
5154,48,2413,213.475,0.0,284.886
5154,60,3016,162.044,0.0,390.1
5154,70,3529,124.923,0.0,261.813
5154,94,4734,159.011,0.0,317.102
5154,115,5765,170.566,0.0,417.51
5154,180,9022,84.9617,0.0,660.061
5155,26,1314,123.01,0.0,213.327
5155,27,1354,59.4119,0.0,844.457
5155,59,2976,187.732,0.0,594.394
5155,61,3052,49.4298,0.0,798.568
5157,17,878,136.184,0.0,295.106
5157,80,4033,196.458,0.0,924.391
5157,121,6062,107.187,0.0,133.926
5160,37,1860,204.744,0.0,94.7683
5167,14,709,232.066,0.0,503.759
5169,10,504,117.782,0.0,121.967
5169,80,4012,135.219,0.0,299.813
5169,95,4785,166.251,0.0,289.695
5169,133,6660,106.276,0.0,168.579
5170,18,906,147.408,0.0,196.419
5171,57,2867,88.7268,0.0,637.094
5177,39,1970,27.7395,0.0,210.39
5179,49,2498,224.54,0.0,555.951
5179,151,7578,225.331,0.0,357.568
5179,154,7737,52.9133,0.0,496.75
5179,202,10129,44.3126,0.0,912.285
5179,236,11836,135.691,0.0,594.606
5181,9,468,47.796,0.0,133.172
5187,54,2727,154.944,0.0,563.114
5187,134,6736,76.0671,0.0,412.193
5189,5,277,33.111,0.0,971.25
5194,10,543,124.144,0.0,255.993
5195,32,1628,65.2757,0.0,520.885
5197,6,309,71.1914,0.0,408.7
5197,20,1037,154.818,0.0,749.849
5197,24,1244,76.3614,0.0,445.7
5203,96,4822,134.018,0.0,207.506
5204,28,1422,231.625,0.0,364.31
5204,152,7646,141.05,0.0,428.933
5204,154,7742,113.278,0.0,469.218
5208,94,4707,86.4428,0.0,174.197
5211,42,2131,86.0994,0.0,812.656
5214,22,1125,168.74,0.0,296.847
5214,78,3903,160.245,0.0,411.293
5215,0,50,80.9564,0.0,662.573
5215,53,2696,213.897,0.0,739.285
5229,48,2435,43.3088,0.0,968.101
5233,61,3070,116.55,0.0,952.734
5235,72,3644,52.459,0.0,416.031
5237,23,1157,179.429,0.0,392.421
5262,59,3000,30.0441,0.0,116.271
5266,7,368,111.059,0.0,637.394
5270,12,631,189.147,0.0,763.746
5271,8,408,90.9825,0.0,604.081
5272,58,2938,97.321,0.0,41.7384
5277,20,1010,55.9085,0.0,369.255
5277,20,1011,232.11,0.0,776.044
5278,2,150,35.6896,0.0,901.429
5280,100,5001,28.3965,0.0,934.697
5280,133,6690,41.3996,0.0,234.708
5280,160,8032,149.977,0.0,936.356
5281,54,2707,97.1607,0.0,405.081
5326,48,2430,216.429,0.0,134.715
5328,82,4102,235.78,0.0,803.65
5331,77,3874,116.472,0.0,111.687
5331,130,6537,77.1164,0.0,625.64
5331,220,11025,78.4022,0.0,324.432
5332,21,1053,89.9441,0.0,949.848
5332,22,1108,143.737,0.0,231.266
5332,84,4216,131.9,0.0,549.891
5332,164,8216,46.3906,0.0,291.464
5332,181,9096,62.108,0.0,998.872
5333,14,703,35.5114,0.0,819.365
5338,16,838,75.0528,0.0,112.981
5338,19,959,132.712,0.0,262.98
5339,79,3980,115.885,0.0,763.218
5344,21,1075,125.703,0.0,770.129
5344,53,2665,38.2708,0.0,611.507
5353,29,1460,198.883,0.0,16.2119
5353,30,1519,214.506,0.0,71.3647
5353,49,2495,222.84,0.0,61.7385
5354,18,901,114.396,0.0,388.9
5354,18,917,107.322,0.0,691.021
5354,26,1302,95.0698,0.0,18.2952
5361,40,2012,189.314,0.0,682.832
5364,30,1522,222.197,0.0,374.792
5364,154,7714,171.835,0.0,16.0896
5364,188,9443,66.9575,0.0,950.751
5365,33,1695,234.573,0.0,453.2
5370,111,5576,175.332,0.0,277.746
5370,126,6342,155.964,0.0,278.498
5371,1,55,228.383,0.0,655.805
5371,47,2400,115.034,0.0,606.917
5374,18,916,98.3549,0.0,532.728
5374,48,2449,97.9984,0.0,929.679
5377,8,422,230.008,0.0,908.842
5382,181,9065,90.515,0.0,283.118
5384,125,6281,213.725,0.0,40.136
5385,59,2961,74.5991,0.0,811.2
5385,83,4191,114.213,0.0,267.893
5385,95,4765,120.238,0.0,419.352
5385,127,6353,217.109,0.0,939.272
5385,132,6605,208.598,0.0,575.308
5385,167,8366,200.371,0.0,999.536
5391,23,1176,207.971,0.0,884.5
5392,13,681,168.173,0.0,604.694
5397,26,1323,60.7522,0.0,445.409
5399,65,3261,84.9793,0.0,668.338
5401,36,1839,162.73,0.0,60.2685
5411,53,2669,96.7059,0.0,401.485
5411,140,7049,69.3071,0.0,942.296
5411,165,8282,170.946,0.0,192.185
5412,38,1902,101.509,0.0,173.071
5412,89,4486,60.4954,0.0,950.7
5412,159,7952,51.7456,0.0,474.986
5412,161,8077,88.2258,0.0,391.508
5418,74,3732,37.6874,0.0,251.307
5418,140,7035,176.755,0.0,561.307
5419,16,803,67.157,0.0,423.77
5419,55,2787,215.155,0.0,57.169
5419,106,5303,49.4372,0.0,267.512
5419,127,6397,190.653,0.0,338.079
5419,131,6573,55.2306,0.0,626.762
5430,0,4,75.4091,0.0,345.719
5433,70,3541,142.175,0.0,631.185
5436,36,1836,29.5869,0.0,437.201
5436,82,4126,160.31,0.0,293.336
5437,141,7090,67.899,0.0,110.3
5437,159,7951,229.341,0.0,797.2
5440,19,979,143.502,0.0,119.393
5440,32,1650,198.03,0.0,468.904
5444,22,1149,235.958,0.0,815.334
5445,22,1141,123.076,0.0,603.231
5452,21,1084,168.517,0.0,540.377
5459,214,10711,136.181,0.0,511.847
5462,57,2886,227.166,0.0,74.7929
5462,104,5223,189.343,0.0,861.846
5463,2,121,159.657,0.0,357.27
5470,19,980,119.756,0.0,590.184
5470,26,1331,215.604,0.0,248.956
5480,6,304,207.044,0.0,641.247
5485,18,921,150.368,0.0,945.373
5485,35,1778,59.1287,0.0,164.7
5487,69,3496,176.484,0.0,301.881
5489,80,4019,138.31,0.0,609.238
5495,22,1110,20.4387,0.0,227.655
5497,63,3171,215.331,0.0,925.222
5499,44,2250,103.401,0.0,811.451
5499,52,2636,120.42,0.0,165.867
5499,190,9541,160.755,0.0,572.991
5500,18,944,45.2951,0.0,537.974
5501,64,3228,189.506,0.0,251.59
5504,8,430,200.556,0.0,819.55
5506,5,294,233.418,0.0,923.03
5506,29,1474,145.341,0.0,139.941
5508,9,493,180.447,0.0,329.228
5508,22,1147,137.928,0.0,437.07
5508,55,2758,110.884,0.0,293.959
5508,75,3771,209.326,0.0,725.451
5508,105,5283,97.208,0.0,982.879
5509,9,460,228.937,0.0,627.06
5509,56,2824,46.3588,0.0,418.84
5511,39,2000,26.0831,0.0,796.3
5512,17,883,193.646,0.0,518.18
5512,31,1587,167.549,0.0,304.403
5512,185,9263,190.364,0.0,474.609
5513,9,457,177.579,0.0,660.488
5513,84,4211,171.527,0.0,623.057
5515,48,2424,198.566,0.0,254.37
5515,108,5434,34.3515,0.0,408.925
5515,123,6169,218.894,0.0,437.35
5515,166,8344,123.979,0.0,927.688
5515,205,10255,108.019,0.0,397.755
5521,30,1549,140.07,0.0,756.618
5521,41,2077,156.189,0.0,460.108
5527,86,4330,166.943,0.0,754.688
5531,64,3216,111.869,0.0,660.327
5532,16,842,207.586,0.0,322.504
5536,32,1612,58.617,0.0,502.316
5536,52,2632,146.496,0.0,260.543
5540,19,970,120.965,0.0,187.476
5541,61,3053,125.114,0.0,926.656
