run,subrun,event,x,y,z
4952,33,1698,116.841,0.0,675
4952,47,2359,-1.89441,0.0,273.6
4952,87,4378,246.663,0.0,619.2
4953,35,1779,66.0815,0.0,622.2
4955,7,363,138.571,0.0,868.2
4955,9,480,183.702,0.0,999.3
4955,9,489,27.6361,0.0,646.8
4955,11,595,188.772,0.0,890.1
4955,13,665,181.585,0.0,369
4955,33,1659,146.594,0.0,517.2
4955,61,3075,101.797,0.0,777.3
4955,138,6915,84.5241,0.0,747
4957,21,1058,93.829,0.0,535.8
4957,84,4239,189.33,0.0,912.3
4957,85,4260,19.7799,0.0,607.5
4957,91,4553,199.86,0.0,195.6
4957,108,5447,8.46913,0.0,761.7
4957,129,6493,72.489,0.0,588
4957,147,7365,138.236,0.0,166.5
4957,151,7593,111.269,0.0,964.5
4958,18,945,32.4836,0.0,582.9
4962,26,1328,159.688,0.0,494.4
4962,28,1447,100.348,0.0,505.2
4962,32,1639,215.127,0.0,776.4
4962,35,1764,189.051,0.0,267.9
4962,43,2158,50.5362,0.0,177.6
4962,43,2182,50.4805,0.0,210.9
4962,70,3536,99.0665,0.0,552.3
4962,96,4841,122.078,0.0,394.5
4962,100,5026,22.8444,0.0,623.7
4962,105,5275,17.4954,0.0,481.5
4962,108,5405,219.529,0.0,205.2
4962,110,5510,0.612897,0.0,843
4962,131,6576,133.054,0.0,325.5
4962,132,6602,50.5362,0.0,968.7
4962,133,6676,41.9556,0.0,522.9
4962,133,6692,153.28,0.0,486.3
4962,146,7346,144.031,0.0,579
4962,147,7397,54.2693,0.0,973.2
4963,0,22,227.218,0.0,531.9
4967,14,740,34.9352,0.0,953.7
4967,19,984,-5.96182,0.0,892.8
4967,20,1022,67.1401,0.0,762.6
4967,31,1596,10.2521,0.0,622.2
4969,17,870,145.312,0.0,911.1
4969,26,1347,93.6061,0.0,894.3
4969,27,1382,144.588,0.0,504
4969,31,1590,166.541,0.0,546.6
4969,32,1610,211.895,0.0,453.6
4969,38,1949,71.1518,0.0,82.2
4969,47,2389,45.5773,0.0,789.9
4969,49,2465,22.3429,0.0,545.7
4969,77,3879,230.338,0.0,546.3
